  TIME                ENSTROPHY           KE
  0.178000000000E+02  0.208771244125E+01  0.259232427960E-01
  0.178400000000E+02  0.207655083137E+01  0.258167006940E-01
  0.178800000000E+02  0.206554501356E+01  0.257107656835E-01
  0.179200000000E+02  0.205468310508E+01  0.256054283649E-01
  0.179600000000E+02  0.204395810172E+01  0.255006795623E-01
  0.180000000000E+02  0.203336585706E+01  0.253965105383E-01
  0.180400000000E+02  0.202289917300E+01  0.252929130569E-01
  0.180800000000E+02  0.201254118809E+01  0.251898794363E-01
  0.181200000000E+02  0.200226349962E+01  0.250874026604E-01
  0.181600000000E+02  0.199203098297E+01  0.249854764868E-01
  0.182000000000E+02  0.198181072477E+01  0.248840954604E-01
  0.182400000000E+02  0.197158086305E+01  0.247832549064E-01
  0.182800000000E+02  0.196133379452E+01  0.246829510397E-01
  0.183200000000E+02  0.195107053457E+01  0.245831811085E-01
  0.183600000000E+02  0.194079108074E+01  0.244839433761E-01
  0.184000000000E+02  0.193048953282E+01  0.243852369306E-01
  0.184400000000E+02  0.192015676626E+01  0.242870614616E-01
  0.184800000000E+02  0.190978643312E+01  0.241894170925E-01
  0.185200000000E+02  0.189937913366E+01  0.240923042712E-01
  0.185600000000E+02  0.188894193299E+01  0.239957236904E-01
  0.186000000000E+02  0.187848388642E+01  0.238996762102E-01
  0.186400000000E+02  0.186801197837E+01  0.238041628031E-01
  0.186800000000E+02  0.185753108696E+01  0.237091845218E-01
  0.187200000000E+02  0.184704643438E+01  0.236147424245E-01
  0.187600000000E+02  0.183656456690E+01  0.235208374012E-01
  0.188000000000E+02  0.182609191338E+01  0.234274699508E-01
  0.188400000000E+02  0.181563335712E+01  0.233346400393E-01
  0.188800000000E+02  0.180519272680E+01  0.232423470963E-01
  0.189200000000E+02  0.179477438984E+01  0.231505900922E-01
  0.189600000000E+02  0.178438404514E+01  0.230593676381E-01
  0.190000000000E+02  0.177402814081E+01  0.229686780963E-01
  0.190400000000E+02  0.176371281895E+01  0.228785196927E-01
  0.190800000000E+02  0.175344316715E+01  0.227888906052E-01
  0.191200000000E+02  0.174322265999E+01  0.226997890169E-01
  0.191600000000E+02  0.173305256802E+01  0.226112131512E-01
  0.192000000000E+02  0.172293162866E+01  0.225231613043E-01
  0.192400000000E+02  0.171285635328E+01  0.224356318799E-01
  0.192800000000E+02  0.170282198999E+01  0.223486234226E-01
  0.193200000000E+02  0.169282386850E+01  0.222621346514E-01
  0.193600000000E+02  0.168285860082E+01  0.221761644857E-01
  0.194000000000E+02  0.167292454999E+01  0.220907120413E-01
  0.194400000000E+02  0.166302143239E+01  0.220057765894E-01
  0.194800000000E+02  0.165314949880E+01  0.219213574880E-01
  0.195200000000E+02  0.164330883804E+01  0.218374540973E-01
  0.195600000000E+02  0.163349904067E+01  0.217540656881E-01
  0.196000000000E+02  0.162371921390E+01  0.216711913538E-01
  0.196400000000E+02  0.161396832737E+01  0.215888299502E-01
  0.196800000000E+02  0.160424587501E+01  0.215069800860E-01
  0.197200000000E+02  0.159455263670E+01  0.214256401687E-01
  0.197600000000E+02  0.158489106021E+01  0.213448084833E-01
  0.198000000000E+02  0.157526483824E+01  0.212644832645E-01
  0.198400000000E+02  0.156567775173E+01  0.211846627318E-01
  0.198800000000E+02  0.155613245650E+01  0.211053450861E-01
  0.199200000000E+02  0.154663005382E+01  0.210265284860E-01
  0.199600000000E+02  0.153717073070E+01  0.209482110237E-01
  0.200000000000E+02  0.152775486211E+01  0.208703907020E-01
